,internal_accession,external_accession,is_brainarray
1,clariomdhuman,GPL23126,y
2,clariomshumanht,GPL24324,y
3,clariomshuman,GPL23159,y
4,hgu133a2,GPL571,y
5,hgu133a2,GPL14604,y
6,hgu133a2,GPL9188,y
7,hgu133a2,GPL22932,y
8,hgu133a2,GPL8414,y
9,hgu133a2,GPL5356,y
10,hgu133a2,GPL17486,y
11,hgu133a2,GPL23080,y
12,hgu133a2,GPL18991,y
13,hgu133a2,GPL18034,y
14,hgu133a2,GPL18880,y
15,hgu133a2,GPL13447,y
16,hgu133a2,GPL7763,y
17,hgu133a2,GPL5705,y
18,hgu133a2,GPL18478,y
19,hgu133a,GPL96,y
20,hgu133a,GPL4557,y
21,hgu133a,GPL17027,y
22,hgu133a,GPL19184,y
23,hgu133a,GPL14663,y
24,hgu133a,GPL24120,y
25,hgu133a,GPL9741,y
26,hgu133a,GPL17180,y
27,hgu133a,GPL8289,y
28,hgu133a,GPL10553,y
29,hgu133a,GPL9021,y
30,hgu133a,GPL17662,y
31,hgu133a,GPL16212,y
32,hgu133b,GPL97,y
33,hgu133b,GPL9742,y
34,hgu133b,GPL19180,y
35,hgu133b,GPL15396,y
36,hgu133b,GPL9197,y
37,hgu133plus2,GPL570,y
38,hgu133plus2,GPL15308,y
39,hgu133plus2,GPL16311,y
40,hgu133plus2,GPL13916,y
41,hgu133plus2,GPL9101,y
42,hgu133plus2,GPL17810,y
43,hgu133plus2,GPL14877,y
44,hgu133plus2,GPL8542,y
45,hgu133plus2,GPL19109,y
46,hgu133plus2,GPL11670,y
47,hgu133plus2,GPL16356,y
48,hgu133plus2,GPL10371,y
49,hgu133plus2,GPL22945,y
50,hgu133plus2,GPL10175,y
51,hgu133plus2,GPL9486,y
52,hgu133plus2,GPL23432,y
53,hgu133plus2,GPL16268,y
54,hgu133plus2,GPL6879,y
55,hgu133plus2,GPL5760,y
56,hgu133plus2,GPL20182,y
57,hgu133plus2,GPL14837,y
58,hgu133plus2,GPL15445,y
59,hgu133plus2,GPL7869,y
60,hgu133plus2,GPL9324,y
61,hgu133plus2,GPL8019,y
62,hgu133plus2,GPL4866,y
63,hgu133plus2,GPL7567,y
64,hgu133plus2,GPL6671,y
65,hgu133plus2,GPL6791,y
66,hgu133plus2,GPL22321,y
67,hgu133plus2,GPL17996,y
68,hgu133plus2,GPL11433,y
69,hgu133plus2,GPL11084,y
70,hgu133plus2,GPL16100,y
71,hgu133plus2,GPL17811,y
72,hgu133plus2,GPL13695,y
73,hgu133plus2,GPL9102,y
74,hgu133plus2,GPL10881,y
75,hgu133plus2,GPL17929,y
76,hgu133plus2,GPL6732,y
77,hgu133plus2,GPL15676,y
78,hgu133plus2,GPL15394,y
79,hgu133plus2,GPL9454,y
80,hgu133plus2,GPL9828,y
81,hgu133plus2,GPL13232,y
82,hgu133plus2,GPL9419,y
83,hgu133plus2,GPL10335,y
84,hgu133plus2,GPL6823,y
85,hgu133plus2,GPL16006,y
86,hgu133plus2,GPL13668,y
87,hgu133plus2,GPL10274,y
88,hgu133plus2,GPL18121,y
89,hgu133plus2,GPL19883,y
90,hgu133plus2,GPL23270,y
91,hgu133plus2,GPL9987,y
92,hgu133plus2,GPL18850,y
93,hgu133plus2,GPL16372,y
94,hgu133plus2,GPL11364,y
95,hgu133plus2,GPL9099,y
96,hgu133plus2,GPL16066,y
97,hgu133plus2,GPL8715,y
98,hgu133plus2,GPL19633,y
99,hgu133plus2,GPL4454,y
100,hgu133plus2,GPL17394,y
101,hgu133plus2,GPL16273,y
102,hgu133plus2,GPL19918,y
103,hgu133plus2,GPL19171,y
104,hgu133plus2,GPL10184,y
105,hgu133plus2,GPL10925,y
106,hgu133plus2,GPL24355,y
107,hgu219,GPL13667,y
108,hgu219,GPL18189,y
109,hgu219,GPL15803,y
110,hgu219,GPL20650,y
111,hgu219,GPL19100,y
112,hgu219,GPL21464,y
113,hgu219,GPL19099,y
114,hgu219,GPL19211,y
115,hgu219,GPL24030,y
116,hgu95a,GPL91,y
117,hgu95av2,GPL8300,y
118,hgu95b,GPL92,y
119,hgu95c,GPL93,y
120,hgu95d,GPL94,y
121,hgu95e,GPL95,y
122,hta20,GPL17586,y
123,hta20,GPL17585,y
124,hta20,GPL18588,y
125,hta20,GPL20265,y
126,hta20,GPL20932,y
127,hta20,GPL21339,y
128,hta20,GPL19198,y
129,hta20,GPL22936,y
130,hta20,GPL24280,y
131,hthgu133a,GPL3921,y
132,hthgu133a,GPL15395,y
133,hthgu133a,GPL17897,y
134,hthgu133a,GPL16980,y
135,hthgu133a,GPL22931,y
136,hthgu133a,GPL18283,y
137,hthgu133b,GPL15396,y
138,hthgu133b,GPL9197,y
139,hthgu133pluspm,GPL13158,y
140,hthgu133pluspm,GPL15798,y
141,hthgu133pluspm,GPL20131,y
142,hthgu133pluspm,GPL17295,y
143,hthgu133pluspm,GPL19309,y
144,hugene10st,GPL6244,y
145,hugene10st,GPL10739,y
146,hugene10st,GPL15648,y
147,hugene10st,GPL13243,y
148,hugene10st,GPL16522,y
149,hugene10st,GPL20171,y
150,hugene10st,GPL19824,y
151,hugene10st,GPL17047,y
152,hugene10st,GPL15034,y
153,hugene10st,GPL17244,y
154,hugene10st,GPL16987,y
155,hugene10st,GPL17556,y
156,hugene10st,GPL15401,y
157,hugene10st,GPL19832,y
158,hugene10st,GPL19306,y
159,hugene10st,GPL18412,y
160,hugene10st,GPL17737,y
161,hugene10st,GPL16786,y
162,hugene10st,GPL10666,y
163,hugene10st,GPL19145,y
164,hugene10st,GPL14010,y
165,hugene10st,GPL11209,y
166,hugene10st,GPL21503,y
167,hugene10st,GPL23644,y
168,hugene10st,GPL23526,y
169,hugene10st,GPL19433,y
170,hugene10st,GPL18695,y
171,hugene10st,GPL16332,y
172,hugene10st,GPL16239,y
173,hugene10st,GPL18401,y
174,hugene10st,GPL19142,y
175,hugene10st,GPL15424,y
176,hugene10st,GPL19302,y
177,hugene10st,GPL10063,y
178,hugene10st,GPL24532,y
179,hugene11st,GPL11532,y
180,hugene11st,GPL16977,y
181,hugene11st,GPL22286,y
182,hugene11st,GPL18190,y
183,hugene11st,GPL15640,y
184,hugene11st,GPL17555,y
185,hugene11st,GPL20234,y
186,hugene11st,GPL11536,y
187,hugene11st,GPL24789,y
188,hugene11st,GPL20880,y
189,hugene20st,GPL16686,y
190,hugene20st,GPL17930,y
191,hugene20st,GPL21970,y
192,hugene20st,GPL20103,y
193,hugene20st,GPL19251,y
194,hugene20st,GPL17889,y
195,hugene20st,GPL19803,y
196,hugene20st,GPL23643,y
197,hugene20st,GPL21563,y
198,hugene20st,GPL18476,y
199,hugene21st,GPL17692,y
200,hugene21st,GPL18964,y
201,hugene21st,GPL19983,y
202,hugene21st,GPL22299,y
203,hugene21st,GPL22067,y
204,hugene21st,GPL19389,y
205,hugene21st,GPL19264,y
206,primeview_spikeins,GPL16043,y
207,primeview,GPL15207,y
208,primeview,GPL21975,y
209,primeview,GPL22841,y
210,primeview,GPL20609,y
211,primeview,GPL23342,y
212,primeview,GPL19660,y
213,u133aaofav2,GPL4685,y
214,Illumina_Human-6_v1.0,GPL2507,n
215,Illumina_Human-6_v1.0,GPL6097,n
216,Illumina_Human-6_V2.0,GPL6102,n
217,Illumina_Human-6_V2.0,GPL6106,n
218,Illumina_Human-6_V2.0,GPL10295,n
219,Illumina_Human-6_V2.0,GPL6790,n
220,Illumina_Human-6_V2.0,GPL6370,n
221,Illumina_Human-6_V2.0,GPL7363,n
222,Illumina_Human-6_V2.0,GPL7350,n
223,Illumina_Human-6_V2.0,GPL7180,n
224,Illumina_Human-6_V2.0,GPL5799,n
225,Illumina_HumanHT-12_V3.0,GPL6947,n
226,Illumina_HumanHT-12_V3.0,GPL15389,n
227,Illumina_HumanHT-12_V3.0,GPL18461,n
228,Illumina_HumanHT-12_V3.0,GPL16700,n
229,Illumina_HumanHT-12_V3.0,GPL19915,n
230,Illumina_HumanHT-12_V4.0,GPL10558,n
231,Illumina_HumanHT-12_V4.0,GPL10904,n
232,Illumina_HumanHT-12_V4.0,GPL15988,n
233,Illumina_HumanHT-12_V4.0,GPL22366,n
234,Illumina_HumanHT-12_V4.0,GPL23026,n
235,Illumina_HumanRef-8_v1.0,GPL6098,n
236,Illumina_HumanRef-8_v2.0,GPL6104,n
237,Illumina_HumanRef-8_v2.0,GPL6255,n
238,Illumina_HumanRef-8_v2.0,GPL5104,n
239,Illumina_HumanRef-8_v2.0,GPL14186,n
240,Illumina_HumanRef-8_v2.0,GPL5060,n
241,Illumina_HumanRef-8_v2.0,GPL6014,n
242,Illumina_HumanRef-8_v2.0,GPL11123,n
243,Illumina_HumanRef-8_v3.0,GPL6883,n
244,Illumina_HumanRef-8_v3.0,GPL18405,n
245,Illumina_HumanRef-8_v3.0,GPL16221,n
246,Illumina_HumanWG-6_V3.0,GPL6884,n
247,Illumina_HumanWG-6_V3.0,GPL11009,n
248,Illumina_HumanWG-6_V3.0,GPL18387,n
